id,buy
39162,0.054355145
39163,0.054355145
39164,0.054355145
39165,0.054355145
39166,0.054355145
39167,0.054355145
39168,0.054355145
39169,0.054355145
39170,0.054355145
39171,0.054355145
39172,0.054355145
39173,0.054355145
39174,0.054355145
39175,0.054355145
39176,0.054355145
39177,0.054355145
39178,0.054355145
39179,0.054355145
39180,0.054355145
39181,0.054355145
39182,0.054355145
39183,0.054355145
39184,0.054355145
39185,0.054355145
39186,0.054355145
39187,0.054355145
39188,0.054355145
39189,0.054355145
39190,0.054355145
39191,0.054355145
39192,0.054355145
39193,0.054355145
39194,0.054355145
39195,0.054355145
39196,0.054355145
39197,0.054355145
39198,0.054355145
39199,0.054355145
39200,0.054355145
39201,0.054355145
39202,0.054355145
39203,0.054355145
39204,0.054355145
39205,0.054355145
39206,0.054355145
39207,0.054355145
39208,0.054355145
39209,0.054355145
39210,0.054355145
39211,0.054355145
39212,0.054355145
39213,0.054355145
39214,0.054355145
39215,0.054355145
39216,0.054355145
39217,0.054355145
39218,0.054355145
39219,0.054355145
39220,0.054355145
39221,0.054355145
39222,0.054355145
39223,0.054355145
39224,0.054355145
39225,0.054355145
39226,0.054355145
39227,0.054355145
39228,0.054355145
39229,0.054355145
39230,0.054355145
39231,0.054355145
39232,0.054355145
39233,0.054355145
39234,0.054355145
39235,0.054355145
39236,0.054355145
39237,0.054355145
39238,0.054355145
39239,0.054355145
39240,0.054355145
39241,0.054355145
39242,0.054355145
39243,0.054355145
39244,0.054355145
39245,0.054355145
39246,0.054355145
39247,0.054355145
39248,0.054355145
39249,0.054355145
39250,0.054355145
39251,0.054355145
39252,0.054355145
39253,0.054355145
39254,0.054355145
39255,0.054355145
39256,0.054355145
39257,0.054355145
39258,0.054355145
39259,0.054355145
39260,0.054355145
39261,0.054355145
39262,0.054355145
39263,0.054355145
39264,0.054355145
39265,0.054355145
39266,0.054355145
39267,0.054355145
39268,0.054355145
39269,0.054355145
39270,0.054355145
39271,0.054355145
39272,0.054355145
39273,0.054355145
39274,0.054355145
39275,0.054355145
39276,0.054355145
39277,0.054355145
39278,0.054355145
39279,0.054355145
39280,0.054355145
39281,0.054355145
39282,0.054355145
39283,0.054355145
39284,0.054355145
39285,0.054355145
